bigram	frequency	relative frequency	mutual information
him the	25.0	0.0004207195988017906	0.0014090386994404336
of their	24.0	0.00040389081484971896	-0.0002069776317219698
to see	24.0	0.00040389081484971896	-0.00027286289824548864
the man	24.0	0.00040389081484971896	-0.0013465429191393268
his own	24.0	0.00040389081484971896	0.00047475659678925826
going to	24.0	0.00040389081484971896	0.00377068513382463
was no	24.0	0.00040389081484971896	0.00010590384637206098
couldn t	24.0	0.00040389081484971896	0.004553931487799776
him and	24.0	0.00040389081484971896	0.0013288905314014644
he saw	24.0	0.00040389081484971896	-0.00014405937260427264
said i	23.0	0.0003870620308976473	0.0020064729185121115
have to	23.0	0.0003870620308976473	0.0021605494671241973
she would	23.0	0.0003870620308976473	0.0010868214932588723
him he	23.0	0.0003870620308976473	0.0012497542730771452
that s	23.0	0.0003870620308976473	0.0007510958386835435
which he	23.0	0.0003870620308976473	0.0025063376228776934
want to	22.0	0.00037023324694557573	0.003755876825753191
his face	22.0	0.00037023324694557573	0.0003887178409909708
who had	22.0	0.00037023324694557573	0.0024448674559810826
had not	22.0	0.00037023324694557573	0.00048276923675033513
when she	22.0	0.00037023324694557573	0.001906562009410491
the first	22.0	0.00037023324694557573	-0.0012808067152768987
tried to	22.0	0.00037023324694557573	0.004042454480776699
to take	22.0	0.00037023324694557573	-0.00029660002945754713
the hall	22.0	0.00037023324694557573	-0.0012808067152768987
but the	21.0	0.0003534044629935041	0.0013513467668439226
it s	21.0	0.0003534044629935041	0.0005829203066837984
thought of	21.0	0.0003534044629935041	0.0027412099069099175
t know	21.0	0.0003534044629935041	0.0016527417986367274
to me	21.0	0.0003534044629935041	-0.0003068366662833766
as if	21.0	0.0003534044629935041	0.0012689344312244255
back to	21.0	0.0003534044629935041	0.00242137024151166
it had	20.0	0.00033657567904143244	0.0005314708610093954
up and	20.0	0.00033657567904143244	0.001692029150495983
the house	20.0	0.00033657567904143244	-0.0012106500830375412
he s	20.0	0.00033657567904143244	-0.0002085804609249961
but i	20.0	0.00033657567904143244	0.0012633055849714183
he went	20.0	0.00033657567904143244	-0.0002085804609249961
to make	20.0	0.00033657567904143244	-0.000315916732292676
when i	20.0	0.00033657567904143244	0.001686957848496449
in my	20.0	0.00033657567904143244	0.00011188464134446858
do you	20.0	0.00033657567904143244	0.0023702784317081943
began to	20.0	0.00033657567904143244	0.0033400018280166197
what he	19.0	0.00031974689508936085	0.0015741557903381463
to have	19.0	0.00031974689508936085	-0.0003237823518294973
for his	19.0	0.00031974689508936085	0.000870053993549292
that they	19.0	0.00031974689508936085	0.0005323372182289016
at his	19.0	0.00031974689508936085	0.000906417104927497
in an	19.0	0.00031974689508936085	8.262895312579022e-05
up to	19.0	0.00031974689508936085	0.001583766236819729
miss ada	19.0	0.00031974689508936085	0.003232015966976211
the river	18.0	0.0003029181111372892	-0.0011356295646871865
there were	18.0	0.0003029181111372892	0.0013220141055508134
his eyes	18.0	0.0003029181111372892	0.00023034507225925226
and in	18.0	0.0003029181111372892	-0.0004702147571271504
as they	18.0	0.0003029181111372892	0.0010202913917041654
a good	18.0	0.0003029181111372892	-0.0002272781079942694
at him	18.0	0.0003029181111372892	0.0008350825679108709
be a	18.0	0.0003029181111372892	0.0012207728230280218
he d	18.0	0.0003029181111372892	-0.0002337669047858959
was to	18.0	0.0003029181111372892	-4.629449055364568e-05
by a	18.0	0.0003029181111372892	0.0015582578310965114
to her	18.0	0.0003029181111372892	-0.0003303695490168079
on her	18.0	0.0003029181111372892	0.0007258145510547848
would not	18.0	0.0003029181111372892	0.00110876864368875
looked at	18.0	0.0003029181111372892	0.002317442673930371
but it	18.0	0.0003029181111372892	0.0010909305365208771
and they	18.0	0.0003029181111372892	-0.0004702147571271504
get the	18.0	0.0003029181111372892	0.002194765162228396
i am	18.0	0.0003029181111372892	0.0004969458438081891
the kitchen	18.0	0.0003029181111372892	-0.0011356295646871865
about it	17.0	0.0002860893271852176	0.0014624529313877353
a few	17.0	0.0002860893271852176	-0.00023824309036659337
around the	17.0	0.0002860893271852176	0.0021880357701168484
the men	17.0	0.0002860893271852176	-0.0010961305772432374
this was	17.0	0.0002860893271852176	0.0014386622557533311
had no	17.0	0.0002860893271852176	0.0002666326584141708
the world	17.0	0.0002860893271852176	-0.0010961305772432374
the other	17.0	0.0002860893271852176	-0.0010961305772432374
him a	17.0	0.0002860893271852176	0.0007989681168898233
i have	17.0	0.0002860893271852176	0.00044574619744683965
the time	17.0	0.0002860893271852176	-0.0010961305772432374
part of	17.0	0.0002860893271852176	0.0030172985287981796
the room	17.0	0.0002860893271852176	-0.0010961305772432374
linda kay	17.0	0.0002860893271852176	0.0033680308133777225
it he	17.0	0.0002860893271852176	0.0003846722251966589
i ve	17.0	0.0002860893271852176	0.00044574619744683965
where the	16.0	0.000269260543233146	0.0018602269888701034
into a	16.0	0.000269260543233146	0.001465103332493649
went to	16.0	0.000269260543233146	0.0019528271344265882
he looked	16.0	0.000269260543233146	-0.0002535469024513798
he didn	16.0	0.000269260543233146	-0.0002535469024513798
the two	16.0	0.000269260543233146	-0.001055202600141416
and it	16.0	0.000269260543233146	-0.0004637227711991616
her to	16.0	0.000269260543233146	0.0006677988428215435
a moment	16.0	0.000269260543233146	-0.00024777908308104514
could be	16.0	0.000269260543233146	0.0013666271817616993
of it	16.0	0.000269260543233146	-0.00029549240852984457
down to	16.0	0.000269260543233146	0.0015658528475422145
which was	16.0	0.000269260543233146	0.0016025646392107975
bobby joe	16.0	0.000269260543233146	0.003193461645915048
time to	16.0	0.000269260543233146	0.0017467244632240755
out the	15.0	0.00025243175928107433	0.001038481789046844
no one	15.0	0.00025243175928107433	0.0012797158436359715
as though	15.0	0.00025243175928107433	0.0007838445886040611
the window	15.0	0.00025243175928107433	-0.0010127562083887321
that it	15.0	0.00025243175928107433	0.00033417767576865263
saw the	15.0	0.00025243175928107433	0.002019888728191811
the whole	15.0	0.00025243175928107433	-0.0010127562083887321
with her	15.0	0.00025243175928107433	0.0004885183622630649
from his	15.0	0.00025243175928107433	0.0010132545368806004
the kid	15.0	0.00025243175928107433	-0.0010127562083887321
the next	15.0	0.00025243175928107433	-0.0010127562083887321
the night	15.0	0.00025243175928107433	-0.0010127562083887321
it is	15.0	0.00025243175928107433	0.0002938344996464704
the place	15.0	0.00025243175928107433	-0.0010127562083887321
i ll	15.0	0.00025243175928107433	0.00034772329869074746
then he	14.0	0.0002356029753290027	0.0013848358304887507
mr jack	14.0	0.0002356029753290027	0.0021432020121130557
will be	14.0	0.0002356029753290027	0.0018972547924053723
to tell	14.0	0.0002356029753290027	-0.00034237668314804944
for her	14.0	0.0002356029753290027	0.0005372922029205321
not a	14.0	0.0002356029753290027	0.0007252403339328769
the last	14.0	0.0002356029753290027	-0.000968690028669455
the most	14.0	0.0002356029753290027	-0.000968690028669455
hadn t	14.0	0.0002356029753290027	0.0028396666937213835
you know	14.0	0.0002356029753290027	0.0007405667332227111
of this	14.0	0.0002356029753290027	-0.0003039436110093301
the stairs	14.0	0.0002356029753290027	-0.000968690028669455
like the	14.0	0.0002356029753290027	0.0012007901107970451
if you	14.0	0.0002356029753290027	0.0013352733346559348
all right	14.0	0.0002356029753290027	0.0009890737895998367
that i	14.0	0.0002356029753290027	0.00028844826321077074
so that	14.0	0.0002356029753290027	0.0012940603233973183
before the	14.0	0.0002356029753290027	0.0016135718400604037
could see	14.0	0.0002356029753290027	0.0011504110304957705
such a	14.0	0.0002356029753290027	0.002368460743063378
his mind	13.0	0.0002187741913769311	6.364906674742165e-05
it and	13.0	0.0002187741913769311	0.0002094904425832803
the figure	13.0	0.0002187741913769311	-0.0009228881710472285
the front	13.0	0.0002187741913769311	-0.0009228881710472285
as she	13.0	0.0002187741913769311	0.0006341658530131923
to their	13.0	0.0002187741913769311	-0.00034131149306306625
which had	13.0	0.0002187741913769311	0.0012365477109264448
she d	13.0	0.0002187741913769311	0.0004342125072288502
was still	13.0	0.0002187741913769311	-0.00013614617306189356
and was	13.0	0.0002187741913769311	-0.0004423108100316469
the mission	13.0	0.0002187741913769311	-0.0009228881710472285
then the	13.0	0.0002187741913769311	0.0012625286981711055
had come	13.0	0.0002187741913769311	0.00011922489151431876
end of	13.0	0.0002187741913769311	0.0023281279671529104
at all	13.0	0.0002187741913769311	0.0005004039247180351
trying to	13.0	0.0002187741913769311	0.0024548011193031177
and had	13.0	0.0002187741913769311	-0.0004423108100316469
i can	13.0	0.0002187741913769311	0.0002561940684216538
see the	13.0	0.0002187741913769311	0.0017054041073225755
the city	13.0	0.0002187741913769311	-0.0009228881710472285
of my	13.0	0.0002187741913769311	-0.0003056236403628269
had never	13.0	0.0002187741913769311	0.00011922489151431876
his father	13.0	0.0002187741913769311	6.364906674742165e-05
as it	13.0	0.0002187741913769311	0.0006341658530131923
you re	13.0	0.0002187741913769311	0.0006642788221383543
old man	12.0	0.00020194540742485948	0.0013450462842825323
that his	12.0	0.00020194540742485948	0.00020233024033138497
we were	12.0	0.00020194540742485948	0.0010729160560119205
a new	12.0	0.00020194540742485948	-0.0002696492291992448
for him	12.0	0.00020194540742485948	0.00041562504579689463
in their	12.0	0.00020194540742485948	-8.169603236531698e-05
her eyes	12.0	0.00020194540742485948	0.00041703421522769677
kind of	12.0	0.00020194540742485948	0.002275955879326154
that would	12.0	0.00020194540742485948	0.00020233024033138497
the audience	12.0	0.00020194540742485948	-0.0008752168669945229
his arm	12.0	0.00020194540742485948	3.5432890969769624e-05
his life	12.0	0.00020194540742485948	3.5432890969769624e-05
a big	12.0	0.00020194540742485948	-0.0002696492291992448
but they	12.0	0.00020194540742485948	0.0006091565338108529
said he	12.0	0.00020194540742485948	0.0008573095863288986
i didn	12.0	0.00020194540742485948	0.00021316673866906083
full of	12.0	0.00020194540742485948	0.0023112813175478254
with him	12.0	0.00020194540742485948	0.0003258027895269147
simms purdew	12.0	0.00020194540742485948	0.0024789111513247473
of course	12.0	0.00020194540742485948	-0.0003054342232858444
way to	12.0	0.00020194540742485948	0.0015126761180594543
had had	12.0	0.00020194540742485948	8.673365229305923e-05
if i	12.0	0.00020194540742485948	0.0010996088729986685
front of	12.0	0.00020194540742485948	0.0019073905026981066
had the	12.0	0.00020194540742485948	8.673365229305923e-05
enough to	12.0	0.00020194540742485948	0.001855174279637974
side of	12.0	0.00020194540742485948	0.0020750203364750283
was an	12.0	0.00020194540742485948	-0.000148993484238829
i think	12.0	0.00020194540742485948	0.00021316673866906083
when they	12.0	0.00020194540742485948	0.0008633478919258714
was that	12.0	0.00020194540742485948	-0.000148993484238829
to hear	12.0	0.00020194540742485948	-0.0003383768565476038
the end	12.0	0.00020194540742485948	-0.0008752168669945229
s a	12.0	0.00020194540742485948	0.00042843196299012477
him in	12.0	0.00020194540742485948	0.00046249985827587274
the street	12.0	0.00020194540742485948	-0.0008752168669945229
had seen	12.0	0.00020194540742485948	8.673365229305923e-05
with an	12.0	0.00020194540742485948	0.0003258027895269147
was one	12.0	0.00020194540742485948	-0.000148993484238829
him that	12.0	0.00020194540742485948	0.00046249985827587274
the big	12.0	0.00020194540742485948	-0.0008752168669945229
been a	12.0	0.00020194540742485948	0.000980614258657195
most of	12.0	0.00020194540742485948	0.0018387593554022314
came to	12.0	0.00020194540742485948	0.001298406096842216
must be	12.0	0.00020194540742485948	0.0015918064913118888
big hans	12.0	0.00020194540742485948	0.0016244893341849935
same time	12.0	0.00020194540742485948	0.001635804083403638
to come	12.0	0.00020194540742485948	-0.0003383768565476038
you could	12.0	0.00020194540742485948	0.0005898603574844767
time he	12.0	0.00020194540742485948	0.0012262284305295957
the water	12.0	0.00020194540742485948	-0.0008752168669945229
i would	12.0	0.00020194540742485948	0.00021316673866906083
in that	12.0	0.00020194540742485948	-8.169603236531698e-05
his hand	11.0	0.00018511662347278786	9.242297022697516e-06
toward the	11.0	0.00018511662347278786	0.0019015966450844175
to say	11.0	0.00018511662347278786	-0.00033341663820156143
or the	11.0	0.00018511662347278786	0.0008238231272837094
men were	11.0	0.00018511662347278786	0.001277423594520946
he told	11.0	0.00018511662347278786	-0.00027438168894933744
know what	11.0	0.00018511662347278786	0.0012493048039865886
top of	11.0	0.00018511662347278786	0.0020630550363493834
her head	11.0	0.00018511662347278786	0.0003590435109257973
and her	11.0	0.00018511662347278786	-0.00041887759871343745
to find	11.0	0.00018511662347278786	-0.00033341663820156143
their own	11.0	0.00018511662347278786	0.0008458848808156606
a long	11.0	0.00018511662347278786	-0.00027041631313223243
the only	11.0	0.00018511662347278786	-0.0008255199811112372
they would	11.0	0.00018511662347278786	0.00047565163387008495
had gone	11.0	0.00018511662347278786	5.626799490237968e-05
told him	11.0	0.00018511662347278786	0.001508630875123609
near the	11.0	0.00018511662347278786	0.0018361106169155618
can t	11.0	0.00018511662347278786	0.0014868264734007033
to think	11.0	0.00018511662347278786	-0.00033341663820156143
to keep	11.0	0.00018511662347278786	-0.00033341663820156143
at a	11.0	0.00018511662347278786	0.0003788040999209089
the dark	11.0	0.00018511662347278786	-0.0008255199811112372
they are	11.0	0.00018511662347278786	0.00047565163387008495
and with	11.0	0.00018511662347278786	-0.00041887759871343745
i d	11.0	0.00018511662347278786	0.00017216499074704778
and there	11.0	0.00018511662347278786	-0.00041887759871343745
the day	11.0	0.00018511662347278786	-0.0008255199811112372
in this	11.0	0.00018511662347278786	-9.812588270113185e-05
sort of	11.0	0.00018511662347278786	0.0021299088851616087
i know	11.0	0.00018511662347278786	0.00017216499074704778
at her	11.0	0.00018511662347278786	0.0003788040999209089
and when	11.0	0.00018511662347278786	-0.00041887759871343745
where he	11.0	0.00018511662347278786	0.0011788378613341822
of an	11.0	0.00018511662347278786	-0.000303219224378282
he must	11.0	0.00018511662347278786	-0.00027438168894933744
used to	11.0	0.00018511662347278786	0.0020036456797432206
the ground	11.0	0.00018511662347278786	-0.0008255199811112372
off the	11.0	0.00018511662347278786	0.0013549701941614307
go to	11.0	0.00018511662347278786	0.001277423594520946
wasn t	11.0	0.00018511662347278786	0.0022955730750806097
wanted to	11.0	0.00018511662347278786	0.0019762482041994307
what was	10.0	0.00016828783952071622	0.0006726686060001265
was going	10.0	0.00016828783952071622	-0.0001684267287430753
find out	10.0	0.00016828783952071622	0.0016277254991052428
and went	10.0	0.00016828783952071622	-0.0004039379879505779
but there	10.0	0.00016828783952071622	0.0004633649529649929
the floor	10.0	0.00016828783952071622	-0.0007736128810394867
the hen	10.0	0.00016828783952071622	-0.0007736128810394867
the great	10.0	0.00016828783952071622	-0.0007736128810394867
them he	10.0	0.00016828783952071622	0.0007286048863562177
it with	10.0	0.00016828783952071622	9.74475909839815e-05
no longer	10.0	0.00016828783952071622	0.0007547018203103155
alex s	10.0	0.00016828783952071622	0.0014880339709578082
against the	10.0	0.00016828783952071622	0.001665095938467346
make a	10.0	0.00016828783952071622	0.0013189045776256473
after the	10.0	0.00016828783952071622	0.001186406900507315
new york	10.0	0.00016828783952071622	0.0013383302105078416
his hands	10.0	0.00016828783952071622	-1.4738082735909746e-05
must have	10.0	0.00016828783952071622	0.0012822399175491893
ready to	10.0	0.00016828783952071622	0.0018523644075610773
that she	10.0	0.00016828783952071622	0.00012434304173210297
and we	10.0	0.00016828783952071622	-0.0004039379879505779
and to	10.0	0.00016828783952071622	-0.0004039379879505779
the rest	10.0	0.00016828783952071622	-0.0007736128810394867
man s	10.0	0.00016828783952071622	0.0008874916435556465
he couldn	10.0	0.00016828783952071622	-0.0002725780699832143
all he	10.0	0.00016828783952071622	0.0006247898462957214
all of	10.0	0.00016828783952071622	0.0006247898462957214
was on	10.0	0.00016828783952071622	-0.0001684267287430753
was so	10.0	0.00016828783952071622	-0.0001684267287430753
was at	10.0	0.00016828783952071622	-0.0001684267287430753
the telephone	10.0	0.00016828783952071622	-0.0007736128810394867
or a	10.0	0.00016828783952071622	0.000725789944774101
you can	10.0	0.00016828783952071622	0.00044728480602634614
they did	10.0	0.00016828783952071622	0.00040927040530716965
between the	10.0	0.00016828783952071622	0.0019131406337540094
she saw	10.0	0.00016828783952071622	0.00027031071763441983
the morning	10.0	0.00016828783952071622	-0.0007736128810394867
the colonel	10.0	0.00016828783952071622	-0.0007736128810394867
out into	10.0	0.00016828783952071622	0.0005938791172508974
the bed	10.0	0.00016828783952071622	-0.0007736128810394867
knew that	10.0	0.00016828783952071622	0.0012481504100142085
doctor s	10.0	0.00016828783952071622	0.0014017562444390826
the boy	10.0	0.00016828783952071622	-0.0007736128810394867
let me	10.0	0.00016828783952071622	0.0014248832849574138
behind the	10.0	0.00016828783952071622	0.001413182090732825
got to	10.0	0.00016828783952071622	0.0013189045776256473
the table	10.0	0.00016828783952071622	-0.0007736128810394867
take the	10.0	0.00016828783952071622	0.0013189045776256473
out in	10.0	0.00016828783952071622	0.0005938791172508974
out to	10.0	0.00016828783952071622	0.0005938791172508974
over his	10.0	0.00016828783952071622	0.0009728999409020107
what i	10.0	0.00016828783952071622	0.0006726686060001265
look at	10.0	0.00016828783952071622	0.001390593084688418
it but	10.0	0.00016828783952071622	9.74475909839815e-05
on it	10.0	0.00016828783952071622	0.0002605227388171638
he wanted	10.0	0.00016828783952071622	-0.0002725780699832143
it up	10.0	0.00016828783952071622	9.74475909839815e-05
room and	10.0	0.00016828783952071622	0.0012011224528042145
of that	10.0	0.00016828783952071622	-0.00029879401128225477
and all	10.0	0.00016828783952071622	-0.0004039379879505779
it seemed	10.0	0.00016828783952071622	9.74475909839815e-05
the wall	10.0	0.00016828783952071622	-0.0007736128810394867
i guess	10.0	0.00016828783952071622	0.00013337345701349955
back in	10.0	0.00016828783952071622	0.0009728999409020107
but she	9.0	0.0001514590555686446	0.00039400621269179394
an old	9.0	0.0001514590555686446	0.0006643276166573499
turned to	9.0	0.0001514590555686446	0.0012385583750184747
kid s	9.0	0.0001514590555686446	0.0014107018180587875
he found	9.0	0.0001514590555686446	-0.0002683425079615925
went on	9.0	0.0001514590555686446	0.0009727428877822643
is the	9.0	0.0001514590555686446	0.0006896283537601249
it the	9.0	0.0001514590555686446	6.468058690888365e-05
was all	9.0	0.0001514590555686446	-0.00017460630084546744
made him	9.0	0.0001514590555686446	0.0010786383453606713
they went	9.0	0.0001514590555686446	0.00034532111979975296
the edge	9.0	0.0001514590555686446	-0.0007192738379122378
the hotel	9.0	0.0001514590555686446	-0.0007192738379122378
but when	9.0	0.0001514590555686446	0.00039400621269179394
could have	9.0	0.0001514590555686446	0.0006430054144082643
into his	9.0	0.0001514590555686446	0.0006983982491949861
close to	9.0	0.0001514590555686446	0.0016705998004945234
opened the	9.0	0.0001514590555686446	0.00164410572182827
now that	9.0	0.0001514590555686446	0.0007550698514098042
house and	9.0	0.0001514590555686446	0.0010256014109248455
the air	9.0	0.0001514590555686446	-0.0007192738379122378
had ever	9.0	0.0001514590555686446	2.1890515534487363e-06
and so	9.0	0.0001514590555686446	-0.00038656643413221973
road and	9.0	0.0001514590555686446	0.0013285195220621346
and at	9.0	0.0001514590555686446	-0.00038656643413221973
this is	9.0	0.0001514590555686446	0.0006226753089682982
in front	9.0	0.0001514590555686446	-0.00012413321194033343
that night	9.0	0.0001514590555686446	8.888649258219301e-05
in all	9.0	0.0001514590555686446	-0.00012413321194033343
the bank	9.0	0.0001514590555686446	-0.0007192738379122378
t have	9.0	0.0001514590555686446	0.0005231755120315674
from a	9.0	0.0001514590555686446	0.0004963326092493617
was only	9.0	0.0001514590555686446	-0.00017460630084546744
like this	9.0	0.0001514590555686446	0.0006753919660305122
uncle randolph	9.0	0.0001514590555686446	0.00164410572182827
he stood	9.0	0.0001514590555686446	-0.0002683425079615925
for an	9.0	0.0001514590555686446	0.00024885759668132523
all his	9.0	0.0001514590555686446	0.0005392886166894497
had said	9.0	0.0001514590555686446	2.1890515534487363e-06
the hut	9.0	0.0001514590555686446	-0.0007192738379122378
along the	9.0	0.0001514590555686446	0.0015517597478201318
heard the	9.0	0.0001514590555686446	0.0013042344714695648
won t	9.0	0.0001514590555686446	0.0018760000612065065
the new	9.0	0.0001514590555686446	-0.0007192738379122378
during the	9.0	0.0001514590555686446	0.0017289554836247296
the apartment	9.0	0.0001514590555686446	-0.0007192738379122378
him on	9.0	0.0001514590555686446	0.00028401370604055887
the sky	9.0	0.0001514590555686446	-0.0007192738379122378
the one	9.0	0.0001514590555686446	-0.0007192738379122378
at this	9.0	0.0001514590555686446	0.0002660822283867908
wouldn t	9.0	0.0001514590555686446	0.0019220445511599063
it for	9.0	0.0001514590555686446	6.468058690888365e-05
scotty s	9.0	0.0001514590555686446	0.0012593727114849729
me he	9.0	0.0001514590555686446	0.0007321497736813989
because he	9.0	0.0001514590555686446	0.0012593727114849729
man to	9.0	0.0001514590555686446	0.000775720234223382
looking at	9.0	0.0001514590555686446	0.0014755640996439116
he is	9.0	0.0001514590555686446	-0.0002683425079615925
if it	9.0	0.0001514590555686446	0.0007618454670826556
of us	9.0	0.0001514590555686446	-0.00029193685513072894
of some	9.0	0.0001514590555686446	-0.00029193685513072894
that a	9.0	0.0001514590555686446	8.888649258219301e-05
were the	9.0	0.0001514590555686446	0.00048713188085275203
up in	9.0	0.0001514590555686446	0.0005869318171778481
went into	9.0	0.0001514590555686446	0.0009727428877822643
who was	9.0	0.0001514590555686446	0.000804865595784209
some of	9.0	0.0001514590555686446	0.0009157723673227327
at least	9.0	0.0001514590555686446	0.0002660822283867908
under the	9.0	0.0001514590555686446	0.0014755640996439116
edge of	9.0	0.0001514590555686446	0.0018760000612065065
they all	9.0	0.0001514590555686446	0.00034532111979975296
me and	9.0	0.0001514590555686446	0.0007321497736813989
of god	9.0	0.0001514590555686446	-0.00029193685513072894
felt the	8.0	0.000134630271616573	0.00096181957927604
about to	8.0	0.000134630271616573	0.0005418077264920003
him with	8.0	0.000134630271616573	0.00022957957849298278
each other	8.0	0.000134630271616573	0.0011364424810965436
in and	8.0	0.000134630271616573	-0.00013321768193447702
the news	8.0	0.000134630271616573	-0.000662231571687281
his body	8.0	0.000134630271616573	-5.5131733044419265e-05
left the	8.0	0.000134630271616573	0.0010872044057305688
he might	8.0	0.000134630271616573	-0.0002614037228422629
a very	8.0	0.000134630271616573	-0.00025851981315709556
i did	8.0	0.000134630271616573	6.335749875510819e-05
that is	8.0	0.000134630271616573	5.6133166529990934e-05
