bigram	frequency	relative frequency	mutual information
thirty years	4.0	6.73151358082865e-05	0.000704065021974391
long ago	4.0	6.73151358082865e-05	0.00041697265941188566
rabbi melzi	4.0	6.73151358082865e-05	0.000798365411478762
mrs tussle	4.0	6.73151358082865e-05	0.00048096754474683337
adam watched	4.0	6.73151358082865e-05	0.0006408580907635641
years ago	3.0	5.048635185621487e-05	0.00032948486925731105
inside majdanek	3.0	5.048635185621487e-05	0.00045181371431742804
flat bottomed	3.0	5.048635185621487e-05	0.0006462870829576176
barbed wire	3.0	5.048635185621487e-05	0.0007207004915436166
gray hair	3.0	5.048635185621487e-05	0.000444341675532758
place redoute	3.0	5.048635185621487e-05	0.00033283381718251034
miss harris	3.0	5.048635185621487e-05	0.00037587492196209684
looked back	3.0	5.048635185621487e-05	0.0002557351193085325
tomorrow night	3.0	5.048635185621487e-05	0.0005453143792451877
mrs dalloway	3.0	5.048635185621487e-05	0.0003397719293380098
alexander brandel	3.0	5.048635185621487e-05	0.0007207004915436166
good deal	3.0	5.048635185621487e-05	0.0002795271406299093
late afternoon	3.0	5.048635185621487e-05	0.0005453143792451877
presidential box	3.0	5.048635185621487e-05	0.0007207004915436166
long island	3.0	5.048635185621487e-05	0.000291775765336799
residential hall	3.0	5.048635185621487e-05	0.0007207004915436166
turned back	3.0	5.048635185621487e-05	0.00033283381718251034
powdered coffee	3.0	5.048635185621487e-05	0.0007207004915436166
half hour	3.0	5.048635185621487e-05	0.00045968983885055786
frederick seward	3.0	5.048635185621487e-05	0.0007207004915436166
blind man	3.0	5.048635185621487e-05	0.0005606625425629876
jake camaret	3.0	5.048635185621487e-05	0.0006787930330993861
human beings	3.0	5.048635185621487e-05	0.0005606625425629876
mrs lattimer	3.0	5.048635185621487e-05	0.0003397719293380098
soaking wet	3.0	5.048635185621487e-05	0.0007207004915436166
katie reared	3.0	5.048635185621487e-05	0.0005972722237636919
david cortlandt	3.0	5.048635185621487e-05	0.0005187550841187571
man named	3.0	5.048635185621487e-05	0.00017855443691747956
reactionary bastards	3.0	5.048635185621487e-05	0.0006197277878311868
ice water	3.0	5.048635185621487e-05	0.0005070950372586781
home army	3.0	5.048635185621487e-05	0.00030514962983381856
kate asked	3.0	5.048635185621487e-05	0.00032948486925731105
main street	3.0	5.048635185621487e-05	0.0006462870829576176
pullen james	3.0	5.048635185621487e-05	0.0007207004915436166
dressing gown	3.0	5.048635185621487e-05	0.0006787930330993861
ol slater	3.0	5.048635185621487e-05	0.0007207004915436166
fish hawk	3.0	5.048635185621487e-05	0.0006197277878311868
orange square	2.0	3.365756790414325e-05	0.0004607785792730113
middle aged	2.0	3.365756790414325e-05	0.00039346344346472483
muffled voice	2.0	3.365756790414325e-05	0.00037849306741972815
drew church	2.0	3.365756790414325e-05	0.0003261483076564383
voice shook	2.0	3.365756790414325e-05	0.0002221921623753094
neighborhood friends	2.0	3.365756790414325e-05	0.00041116964021567856
southern cities	2.0	3.365756790414325e-05	0.0004607785792730113
today tomorrow	2.0	3.365756790414325e-05	0.0003438545044073921
general mcclellan	2.0	3.365756790414325e-05	0.00043284027364352427
redcoat officer	2.0	3.365756790414325e-05	0.00039346344346472483
hudson river	2.0	3.365756790414325e-05	0.0003655251378352378
alex entered	2.0	3.365756790414325e-05	0.0002194563416693523
criss crossed	2.0	3.365756790414325e-05	0.0005001554094518107
swimming pool	2.0	3.365756790414325e-05	0.00039346344346472483
dining room	2.0	3.365756790414325e-05	0.0004607785792730113
pig drunk	2.0	3.365756790414325e-05	0.00041116964021567856
kay felt	2.0	3.365756790414325e-05	0.00029232242899000614
stone wall	2.0	3.365756790414325e-05	0.00033459843603204724
peanut butter	2.0	3.365756790414325e-05	0.0005001554094518107
essential part	2.0	3.365756790414325e-05	0.0005001554094518107
delaware house	2.0	3.365756790414325e-05	0.00041116964021567856
mr kahler	2.0	3.365756790414325e-05	0.00021168297709596627
jeff lawrence	2.0	3.365756790414325e-05	0.0004607785792730113
jews andrei	2.0	3.365756790414325e-05	0.0003655251378352378
mr christiansen	2.0	3.365756790414325e-05	0.00021168297709596627
mentioned kate	2.0	3.365756790414325e-05	0.00043284027364352427
john entered	2.0	3.365756790414325e-05	0.00020448596562435564
long black	2.0	3.365756790414325e-05	0.0001748287618017996
mouth open	2.0	3.365756790414325e-05	0.00029232242899000614
harlem heights	2.0	3.365756790414325e-05	0.00041116964021567856
damn war	2.0	3.365756790414325e-05	0.0003655251378352378
claire wondered	2.0	3.365756790414325e-05	0.00031117793161144163
watson watched	2.0	3.365756790414325e-05	0.00022500729318171962
gaming card	2.0	3.365756790414325e-05	0.0005001554094518107
nuclear hardware	2.0	3.365756790414325e-05	0.0005001554094518107
evening eileen	2.0	3.365756790414325e-05	0.00029232242899000614
river road	2.0	3.365756790414325e-05	0.00024045489481901
chair creaked	2.0	3.365756790414325e-05	0.00029232242899000614
feet tall	2.0	3.365756790414325e-05	0.0002718011014326422
simmons grabbed	2.0	3.365756790414325e-05	0.0003655251378352378
fifty years	2.0	3.365756790414325e-05	0.0003438545044073921
bottomed barge	2.0	3.365756790414325e-05	0.0004607785792730113
white houses	2.0	3.365756790414325e-05	0.000193562642350223
home sweet	2.0	3.365756790414325e-05	0.0001837446714664793
funny thing	2.0	3.365756790414325e-05	0.00039346344346472483
peter robert	2.0	3.365756790414325e-05	0.0003540866132859253
possum hunting	2.0	3.365756790414325e-05	0.0005001554094518107
tissue paper	2.0	3.365756790414325e-05	0.0005001554094518107
watson turned	2.0	3.365756790414325e-05	0.00022500729318171962
washington city	2.0	3.365756790414325e-05	0.00043284027364352427
locker room	2.0	3.365756790414325e-05	0.0005001554094518107
future farmers	2.0	3.365756790414325e-05	0.0003655251378352378
redcoat ranks	2.0	3.365756790414325e-05	0.00039346344346472483
instant john	2.0	3.365756790414325e-05	0.0003540866132859253
white people	2.0	3.365756790414325e-05	0.000193562642350223
fell asleep	2.0	3.365756790414325e-05	0.0003261483076564383
st peter	2.0	3.365756790414325e-05	0.0004607785792730113
mama albright	2.0	3.365756790414325e-05	0.0003655251378352378
upper lip	2.0	3.365756790414325e-05	0.00039346344346472483
ll give	2.0	3.365756790414325e-05	0.00020448596562435564
night bobby	2.0	3.365756790414325e-05	0.00017829753098762854
shower room	2.0	3.365756790414325e-05	0.00043284027364352427
previous day	2.0	3.365756790414325e-05	0.00039346344346472483
winston watched	2.0	3.365756790414325e-05	0.0002194563416693523
post office	2.0	3.365756790414325e-05	0.0004607785792730113
open field	2.0	3.365756790414325e-05	0.00023716253842030608
thick middle	2.0	3.365756790414325e-05	0.0003261483076564383
eyes closed	2.0	3.365756790414325e-05	0.00016824215593877617
john hunter	2.0	3.365756790414325e-05	0.00020448596562435564
dark earth	2.0	3.365756790414325e-05	0.00022500729318171962
church organization	2.0	3.365756790414325e-05	0.00017654765999486864
froze good	2.0	3.365756790414325e-05	0.00043284027364352427
law school	2.0	3.365756790414325e-05	0.00041116964021567856
dust cloud	2.0	3.365756790414325e-05	0.00031837494308305226
warm sweet	2.0	3.365756790414325e-05	0.00037849306741972815
santo spirito	2.0	3.365756790414325e-05	0.0005001554094518107
crawling man	2.0	3.365756790414325e-05	0.00041116964021567856
successful opera	2.0	3.365756790414325e-05	0.0004607785792730113
feet high	2.0	3.365756790414325e-05	0.0002718011014326422
lonely woman	2.0	3.365756790414325e-05	0.0004607785792730113
thumping wildly	2.0	3.365756790414325e-05	0.0004607785792730113
straw hat	2.0	3.365756790414325e-05	0.00037849306741972815
hans found	2.0	3.365756790414325e-05	0.00023089486621866482
previous night	2.0	3.365756790414325e-05	0.00039346344346472483
selena masters	2.0	3.365756790414325e-05	0.00043284027364352427
older men	2.0	3.365756790414325e-05	0.0003540866132859253
early morning	2.0	3.365756790414325e-05	0.00029232242899000614
porch steps	2.0	3.365756790414325e-05	0.00037849306741972815
dutch reformed	2.0	3.365756790414325e-05	0.0004607785792730113
lincoln screamed	2.0	3.365756790414325e-05	0.00039346344346472483
left side	2.0	3.365756790414325e-05	0.00020448596562435564
aged man	2.0	3.365756790414325e-05	0.0005001554094518107
understand pa	2.0	3.365756790414325e-05	0.00028677147747763876
breakfast table	2.0	3.365756790414325e-05	0.0003540866132859253
western virginia	2.0	3.365756790414325e-05	0.0004607785792730113
young boy	2.0	3.365756790414325e-05	0.00024739464729883927
thin legs	2.0	3.365756790414325e-05	0.00029232242899000614
laura keene	2.0	3.365756790414325e-05	0.0003438545044073921
upper part	2.0	3.365756790414325e-05	0.00039346344346472483
harpers ferry	2.0	3.365756790414325e-05	0.0005001554094518107
booby traps	2.0	3.365756790414325e-05	0.0004607785792730113
top dog	2.0	3.365756790414325e-05	0.00029232242899000614
ablard corne	2.0	3.365756790414325e-05	0.0005001554094518107
episcopal church	2.0	3.365756790414325e-05	0.0005001554094518107
fucken sky	2.0	3.365756790414325e-05	0.00039346344346472483
life size	2.0	3.365756790414325e-05	0.000193562642350223
public performance	2.0	3.365756790414325e-05	0.0003540866132859253
ole buckra	2.0	3.365756790414325e-05	0.00041116964021567856
chicken mose	2.0	3.365756790414325e-05	0.00041116964021567856
future homemakers	2.0	3.365756790414325e-05	0.0003655251378352378
white city	2.0	3.365756790414325e-05	0.000193562642350223
kate felt	2.0	3.365756790414325e-05	0.00019996816441547426
styka styka	2.0	3.365756790414325e-05	0.00029821000202695134
black hair	2.0	3.365756790414325e-05	0.00022790647004496126
young woman	2.0	3.365756790414325e-05	0.00024739464729883927
mr pastern	2.0	3.365756790414325e-05	0.00021168297709596627
cousin joshua	2.0	3.365756790414325e-05	0.00028677147747763876
militia company	2.0	3.365756790414325e-05	0.00041116964021567856
ten foot	2.0	3.365756790414325e-05	0.0002672833002237608
miss snow	2.0	3.365756790414325e-05	0.00023089486621866482
jacques asked	2.0	3.365756790414325e-05	0.00039346344346472483
big battle	2.0	3.365756790414325e-05	0.0001837446714664793
kayabashi wanted	2.0	3.365756790414325e-05	0.0003261483076564383
eyes blinked	2.0	3.365756790414325e-05	0.00016824215593877617
flower garden	2.0	3.365756790414325e-05	0.00041116964021567856
mr thynne	2.0	3.365756790414325e-05	0.00021168297709596627
strange men	2.0	3.365756790414325e-05	0.00033459843603204724
operation reinhard	2.0	3.365756790414325e-05	0.0005001554094518107
captain androfski	2.0	3.365756790414325e-05	0.00037849306741972815
mrs catt	2.0	3.365756790414325e-05	0.00020682620446927345
people talk	2.0	3.365756790414325e-05	0.00020682620446927345
local provincial	2.0	3.365756790414325e-05	0.00037849306741972815
isaac pitt	2.0	3.365756790414325e-05	0.00043284027364352427
sweet home	2.0	3.365756790414325e-05	0.0002718011014326422
colonel marsh	2.0	3.365756790414325e-05	0.00031837494308305226
fifty dollars	2.0	3.365756790414325e-05	0.0003438545044073921
conference house	2.0	3.365756790414325e-05	0.00041116964021567856
sipping coffee	2.0	3.365756790414325e-05	0.0004607785792730113
musket ball	2.0	3.365756790414325e-05	0.00039346344346472483
business worries	2.0	3.365756790414325e-05	0.0003261483076564383
andrei remembered	2.0	3.365756790414325e-05	0.0002765393685991056
taking place	2.0	3.365756790414325e-05	0.00031837494308305226
white church	2.0	3.365756790414325e-05	0.000193562642350223
scotty gazed	2.0	3.365756790414325e-05	0.00020682620446927345
soldiers monument	2.0	3.365756790414325e-05	0.0003261483076564383
barbara asked	2.0	3.365756790414325e-05	0.00043284027364352427
cash box	2.0	3.365756790414325e-05	0.0004607785792730113
salt po	2.0	3.365756790414325e-05	0.00043284027364352427
hudson street	2.0	3.365756790414325e-05	0.0003655251378352378
laura andrus	2.0	3.365756790414325e-05	0.0003438545044073921
blue wool	2.0	3.365756790414325e-05	0.00029821000202695134
hundred years	2.0	3.365756790414325e-05	0.00031117793161144163
pretty bad	2.0	3.365756790414325e-05	0.0003438545044073921
high stool	2.0	3.365756790414325e-05	0.00025883317184815185
ghetto wall	2.0	3.365756790414325e-05	0.00041116964021567856
red coats	2.0	3.365756790414325e-05	0.00031117793161144163
closed door	2.0	3.365756790414325e-05	0.00029232242899000614
da da	2.0	3.365756790414325e-05	0.0004607785792730113
straight ahead	2.0	3.365756790414325e-05	0.0003655251378352378
small dark	2.0	3.365756790414325e-05	0.00023397814780549294
hans don	2.0	3.365756790414325e-05	0.00023089486621866482
kay told	2.0	3.365756790414325e-05	0.00029232242899000614
infectious hepatitis	2.0	3.365756790414325e-05	0.0005001554094518107
dr charles	2.0	3.365756790414325e-05	0.00041116964021567856
louis 15	2.0	3.365756790414325e-05	0.0004607785792730113
town pat	2.0	3.365756790414325e-05	0.0002765393685991056
blue eyes	2.0	3.365756790414325e-05	0.00029821000202695134
jacopo galli	2.0	3.365756790414325e-05	0.0005001554094518107
colored boy	2.0	3.365756790414325e-05	0.0003438545044073921
ended mark	2.0	3.365756790414325e-05	0.00043284027364352427
bring back	2.0	3.365756790414325e-05	0.0003438545044073921
card manufacturer	2.0	3.365756790414325e-05	0.0005001554094518107
afraid violet	2.0	3.365756790414325e-05	0.00033459843603204724
plot john	2.0	3.365756790414325e-05	0.00041116964021567856
lob scuse	2.0	3.365756790414325e-05	0.0005001554094518107
uncle izaak	2.0	3.365756790414325e-05	0.00029232242899000614
po chavis	2.0	3.365756790414325e-05	0.00039346344346472483
master calvin	2.0	3.365756790414325e-05	0.00043284027364352427
good humor	2.0	3.365756790414325e-05	0.00016666301199720642
androfski andrei	2.0	3.365756790414325e-05	0.0004607785792730113
francis xavier	2.0	3.365756790414325e-05	0.0004607785792730113
hiding places	2.0	3.365756790414325e-05	0.00043284027364352427
head corps	2.0	3.365756790414325e-05	0.0001748287618017996
print shop	2.0	3.365756790414325e-05	0.0005001554094518107
cousin ada	2.0	3.365756790414325e-05	0.00028677147747763876
slate roof	2.0	3.365756790414325e-05	0.0005001554094518107
pierre ameaux	2.0	3.365756790414325e-05	0.00037849306741972815
unleavened bread	2.0	3.365756790414325e-05	0.0005001554094518107
pap pap	2.0	3.365756790414325e-05	0.0004607785792730113
sister mary	2.0	3.365756790414325e-05	0.00039346344346472483
learned man	2.0	3.365756790414325e-05	0.0003540866132859253
royal academy	2.0	3.365756790414325e-05	0.00039346344346472483
deacon board	2.0	3.365756790414325e-05	0.00043284027364352427
woman sitting	2.0	3.365756790414325e-05	0.0002221921623753094
dark eyes	2.0	3.365756790414325e-05	0.00022500729318171962
nerien nicholas	2.0	3.365756790414325e-05	0.0005001554094518107
dollar money	2.0	3.365756790414325e-05	0.00043284027364352427
mid fifties	2.0	3.365756790414325e-05	0.0004607785792730113
white men	2.0	3.365756790414325e-05	0.000193562642350223
dr verdi	2.0	3.365756790414325e-05	0.00041116964021567856
watson stared	2.0	3.365756790414325e-05	0.00022500729318171962
bad things	2.0	3.365756790414325e-05	0.00029232242899000614
company street	2.0	3.365756790414325e-05	0.00030447767422859254
sleepy voice	2.0	3.365756790414325e-05	0.00041116964021567856
long time	2.0	3.365756790414325e-05	0.0001748287618017996
tomorrow morning	2.0	3.365756790414325e-05	0.0003438545044073921
argiento made	2.0	3.365756790414325e-05	0.00031837494308305226
white hotel	2.0	3.365756790414325e-05	0.000193562642350223
poor isaac	2.0	3.365756790414325e-05	0.00030447767422859254
rich house	2.0	3.365756790414325e-05	0.0003540866132859253
de cury	2.0	3.365756790414325e-05	0.00031837494308305226
important thing	2.0	3.365756790414325e-05	0.00031837494308305226
home overheated	1.0	1.6828783952071623e-05	7.504355178116803e-05
blushed redder	1.0	1.6828783952071623e-05	0.00021356050568443403
full grown	1.0	1.6828783952071623e-05	0.00013227621706140403
blinking lights	1.0	1.6828783952071623e-05	0.000266906488677977
vous voulez	1.0	1.6828783952071623e-05	0.00023324892077383375
mr thynnes	1.0	1.6828783952071623e-05	8.901270459591152e-05
manners winston	1.0	1.6828783952071623e-05	0.00021356050568443403
healthy indifferent	1.0	1.6828783952071623e-05	0.000266906488677977
dank timbered	1.0	1.6828783952071623e-05	0.000266906488677977
original designer	1.0	1.6828783952071623e-05	0.00023324892077383375
dark forms	1.0	1.6828783952071623e-05	9.56748626387882e-05
ago tolek	1.0	1.6828783952071623e-05	0.0001550984682516244
bill boxell	1.0	1.6828783952071623e-05	0.0001995913528696905
hands make	1.0	1.6828783952071623e-05	0.00010175248525808141
rendezvous spot	1.0	1.6828783952071623e-05	0.00023324892077383375
loose feathers	1.0	1.6828783952071623e-05	0.00021356050568443403
methodist church	1.0	1.6828783952071623e-05	0.00023324892077383375
wet bathing	1.0	1.6828783952071623e-05	0.00014624536987614754
scotty constantly	1.0	1.6828783952071623e-05	8.65843182825651e-05
prostitutes plied	1.0	1.6828783952071623e-05	0.000266906488677977
period number	1.0	1.6828783952071623e-05	0.000266906488677977
moll don	1.0	1.6828783952071623e-05	0.00018875603615576766
road rolled	1.0	1.6828783952071623e-05	9.426729723558308e-05
luminous grey	1.0	1.6828783952071623e-05	0.00023324892077383375
strangers sharing	1.0	1.6828783952071623e-05	0.000266906488677977
body rigidly	1.0	1.6828783952071623e-05	9.861864915726079e-05
lines make	1.0	1.6828783952071623e-05	0.00016021452269089103
buy fifty	1.0	1.6828783952071623e-05	0.00018875603615576766
hypocrite standing	1.0	1.6828783952071623e-05	0.000266906488677977
sat sprawled	1.0	1.6828783952071623e-05	9.156895828085307e-05
ragged string	1.0	1.6828783952071623e-05	0.00021356050568443403
pray stephen	1.0	1.6828783952071623e-05	0.00021356050568443403
madame de	1.0	1.6828783952071623e-05	0.000266906488677977
delivery boys	1.0	1.6828783952071623e-05	0.000266906488677977
dimly moving	1.0	1.6828783952071623e-05	0.000266906488677977
stranger uncle	1.0	1.6828783952071623e-05	0.00014624536987614754
question time	1.0	1.6828783952071623e-05	0.00017241774975779243
breakfast bar	1.0	1.6828783952071623e-05	0.00016021452269089103
knew uneasily	1.0	1.6828783952071623e-05	6.891103078824456e-05
man approached	1.0	1.6828783952071623e-05	3.284515414238834e-05
pair rode	1.0	1.6828783952071623e-05	0.00016593378496554729
desolate rocks	1.0	1.6828783952071623e-05	0.000266906488677977
sank back	1.0	1.6828783952071623e-05	0.00023324892077383375
naked miss	1.0	1.6828783952071623e-05	0.00018875603615576766
morning chores	1.0	1.6828783952071623e-05	9.56748626387882e-05
son robert	1.0	1.6828783952071623e-05	0.00012144090034748117
hours ago	1.0	1.6828783952071623e-05	0.0001550984682516244
retired wobbly	1.0	1.6828783952071623e-05	0.00021356050568443403
hawk began	1.0	1.6828783952071623e-05	0.000150470434063952
white feathers	1.0	1.6828783952071623e-05	7.995253722303988e-05
folding chairs	1.0	1.6828783952071623e-05	0.000266906488677977
cost money	1.0	1.6828783952071623e-05	0.00021356050568443403
unlovely hills	1.0	1.6828783952071623e-05	0.000266906488677977
escritoire warped	1.0	1.6828783952071623e-05	0.00023324892077383375
back home	1.0	1.6828783952071623e-05	4.138598387702477e-05
afflicted eye	1.0	1.6828783952071623e-05	0.000266906488677977
caliche topped	1.0	1.6828783952071623e-05	0.000266906488677977
indefatigable force	1.0	1.6828783952071623e-05	0.000266906488677977
store window	1.0	1.6828783952071623e-05	0.00018875603615576766
alex managed	1.0	1.6828783952071623e-05	9.289938688260452e-05
styka captain	1.0	1.6828783952071623e-05	0.00013227621706140403
packard lifted	1.0	1.6828783952071623e-05	0.00021356050568443403
painting days	1.0	1.6828783952071623e-05	0.0001995913528696905
river bystrzyca	1.0	1.6828783952071623e-05	0.00010339866345743338
lairs adam	1.0	1.6828783952071623e-05	0.000266906488677977
hate sincere	1.0	1.6828783952071623e-05	0.00016021452269089103
hepatitis fund	1.0	1.6828783952071623e-05	0.00021356050568443403
astride noble	1.0	1.6828783952071623e-05	0.000266906488677977
offer mr	1.0	1.6828783952071623e-05	0.00017990293778029075
black grayed	1.0	1.6828783952071623e-05	9.712445107040901e-05
wide spread	1.0	1.6828783952071623e-05	0.00017990293778029075
drew back	1.0	1.6828783952071623e-05	0.00014624536987614754
bricklaying snatched	1.0	1.6828783952071623e-05	0.000266906488677977
sentences beginning	1.0	1.6828783952071623e-05	0.000266906488677977
divinely inspired	1.0	1.6828783952071623e-05	0.000266906488677977
window shades	1.0	1.6828783952071623e-05	0.00010686853969734802
baths electric	1.0	1.6828783952071623e-05	0.000266906488677977
broad drawl	1.0	1.6828783952071623e-05	0.00016593378496554729
calm thirty	1.0	1.6828783952071623e-05	0.00017990293778029075
pull hen	1.0	1.6828783952071623e-05	0.00016593378496554729
unsteadily leaning	1.0	1.6828783952071623e-05	0.000266906488677977
strange language	1.0	1.6828783952071623e-05	0.000150470434063952
lawrence stared	1.0	1.6828783952071623e-05	0.0001550984682516244
stiffly motionless	1.0	1.6828783952071623e-05	0.00018875603615576766
arianists peter	1.0	1.6828783952071623e-05	0.000266906488677977
women listened	1.0	1.6828783952071623e-05	0.00012933243054293143
westchester county	1.0	1.6828783952071623e-05	0.00023324892077383375
sicilian brilliance	1.0	1.6828783952071623e-05	0.000266906488677977
lips barely	1.0	1.6828783952071623e-05	0.00013541005316222466
bulky laborers	1.0	1.6828783952071623e-05	0.00023324892077383375
diminutive log	1.0	1.6828783952071623e-05	0.00023324892077383375
washing laundry	1.0	1.6828783952071623e-05	0.00021356050568443403
standing triumphant	1.0	1.6828783952071623e-05	0.00012655695478674776
light supper	1.0	1.6828783952071623e-05	0.00011907176676424945
trees bare	1.0	1.6828783952071623e-05	0.00012933243054293143
river stood	1.0	1.6828783952071623e-05	0.00010339866345743338
hundred pounds	1.0	1.6828783952071623e-05	0.00013876018185364917
simple wealth	1.0	1.6828783952071623e-05	0.00018875603615576766
fat couple	1.0	1.6828783952071623e-05	0.000150470434063952
connoisseur witnessing	1.0	1.6828783952071623e-05	0.00023324892077383375
traditional sort	1.0	1.6828783952071623e-05	0.00023324892077383375
detailed studies	1.0	1.6828783952071623e-05	0.000266906488677977
mme cestre	1.0	1.6828783952071623e-05	0.00021356050568443403
marble fireplace	1.0	1.6828783952071623e-05	0.00017990293778029075
jersey back	1.0	1.6828783952071623e-05	0.0001995913528696905
churchgoing catholic	1.0	1.6828783952071623e-05	0.000266906488677977
bridegroom martha	1.0	1.6828783952071623e-05	0.000266906488677977
maria ballestre	1.0	1.6828783952071623e-05	0.000266906488677977
snake rail	1.0	1.6828783952071623e-05	0.00021356050568443403
spoken words	1.0	1.6828783952071623e-05	0.00017241774975779243
box high	1.0	1.6828783952071623e-05	0.00012393157994237117
windowpanes rattled	1.0	1.6828783952071623e-05	0.00023324892077383375
food biscuits	1.0	1.6828783952071623e-05	0.00017990293778029075
white locks	1.0	1.6828783952071623e-05	7.995253722303988e-05
town black	1.0	1.6828783952071623e-05	0.00012144090034748117
agilely retaining	1.0	1.6828783952071623e-05	0.000266906488677977
rangers hush	1.0	1.6828783952071623e-05	0.000266906488677977
gingerly steps	1.0	1.6828783952071623e-05	0.000266906488677977
league mrs	1.0	1.6828783952071623e-05	0.000266906488677977
youth casually	1.0	1.6828783952071623e-05	0.00018875603615576766
rat holes	1.0	1.6828783952071623e-05	0.000266906488677977
soul slept	1.0	1.6828783952071623e-05	0.0001995913528696905
chavis chapter	1.0	1.6828783952071623e-05	0.00023324892077383375
continually serenaded	1.0	1.6828783952071623e-05	0.00021356050568443403
important news	1.0	1.6828783952071623e-05	0.00014235868758945454
window washing	1.0	1.6828783952071623e-05	0.00010686853969734802
thousand zlotys	1.0	1.6828783952071623e-05	0.00016021452269089103
place thirty	1.0	1.6828783952071623e-05	8.427161423073196e-05
disengagement carried	1.0	1.6828783952071623e-05	0.000266906488677977
finally overcoming	1.0	1.6828783952071623e-05	0.000150470434063952
ponderous hulk	1.0	1.6828783952071623e-05	0.000266906488677977
hatching powers	1.0	1.6828783952071623e-05	0.00023324892077383375
christian rector	1.0	1.6828783952071623e-05	0.00021356050568443403
figure moved	1.0	1.6828783952071623e-05	0.00010175248525808141
baronial windows	1.0	1.6828783952071623e-05	0.000266906488677977
merchants made	1.0	1.6828783952071623e-05	0.00023324892077383375
dutchess county	1.0	1.6828783952071623e-05	0.000266906488677977
enjoyed planning	1.0	1.6828783952071623e-05	0.00018875603615576766
style house	1.0	1.6828783952071623e-05	0.0001995913528696905
receiving medicines	1.0	1.6828783952071623e-05	0.00023324892077383375
coming back	1.0	1.6828783952071623e-05	0.00011465439497338908
marsh called	1.0	1.6828783952071623e-05	0.0001995913528696905
lavender binding	1.0	1.6828783952071623e-05	0.000266906488677977
handed harold	1.0	1.6828783952071623e-05	0.00017990293778029075
promptly put	1.0	1.6828783952071623e-05	0.00023324892077383375
today ll	1.0	1.6828783952071623e-05	0.0001550984682516244
big windbag	1.0	1.6828783952071623e-05	7.504355178116803e-05
joe mcfeeley	1.0	1.6828783952071623e-05	0.00011907176676424945
thin ragged	1.0	1.6828783952071623e-05	0.00012933243054293143
constant visitor	1.0	1.6828783952071623e-05	0.00021356050568443403
weeks warren	1.0	1.6828783952071623e-05	0.00016593378496554729
air john	1.0	1.6828783952071623e-05	0.0001106055836335583
movie suppose	1.0	1.6828783952071623e-05	0.00023324892077383375
marching west	1.0	1.6828783952071623e-05	0.00018875603615576766
bed joseph	1.0	1.6828783952071623e-05	0.00010510261394950596
partly open	1.0	1.6828783952071623e-05	0.00021356050568443403
black man	1.0	1.6828783952071623e-05	9.712445107040901e-05
flooded david	1.0	1.6828783952071623e-05	0.00023324892077383375
weak tattered	1.0	1.6828783952071623e-05	0.00023324892077383375
person professor	1.0	1.6828783952071623e-05	0.0001550984682516244
elder looked	1.0	1.6828783952071623e-05	0.00018875603615576766
lashings wild	1.0	1.6828783952071623e-05	0.000266906488677977
hand grenade	1.0	1.6828783952071623e-05	7.41186170289851e-05
mountain views	1.0	1.6828783952071623e-05	0.00021356050568443403
summers preceding	1.0	1.6828783952071623e-05	0.00023324892077383375
structural purposes	1.0	1.6828783952071623e-05	0.00023324892077383375
